	 load_graph: time cost = 19,841
	 G : n = 5881, m = 21492, pm = 18250, nm = 3242
	 Graph: g1_bitcoin.edges,	 k: 3
	 CTCP, T : 16,333,	 n = 3588, m = 19202
-----------------------------------
	 get_g, T : 88,	 n=282
load graph of size n=282, m=2175
	 kplex = 11 
	 CTCP, T : 18,062,	 n = 213, m = 3147
213 3147
0 1 1
0 2 1
0 4 1
0 6 1
0 12 1
0 23 1
0 27 1
0 32 1
0 37 1
0 41 1
0 45 1
0 53 1
0 67 1
0 68 1
0 78 1
0 100 1
0 3 -1
0 19 -1
0 40 -1
0 43 -1
0 81 -1
0 155 -1
1 2 1
1 3 1
1 4 1
1 6 1
1 7 1
1 8 1
1 9 1
1 11 1
1 12 1
1 13 1
1 14 1
1 15 1
1 16 1
1 17 1
1 19 1
1 20 1
1 21 1
1 23 1
1 24 1
1 25 1
1 28 1
1 29 1
1 30 1
1 33 1
1 34 1
1 35 1
1 36 1
1 37 1
1 40 1
1 41 1
1 42 1
1 44 1
1 45 1
1 46 1
1 52 1
1 53 1
1 54 1
1 55 1
1 57 1
1 60 1
1 61 1
1 65 1
1 68 1
1 69 1
1 70 1
1 71 1
1 73 1
1 74 1
1 76 1
1 78 1
1 79 1
1 81 1
1 83 1
1 84 1
1 85 1
1 87 1
1 88 1
1 90 1
1 99 1
1 100 1
1 101 1
1 105 1
1 112 1
1 115 1
1 117 1
1 119 1
1 122 1
1 127 1
1 129 1
1 151 1
1 154 1
1 155 1
1 156 1
1 158 1
1 170 1
1 197 1
1 208 1
1 209 1
1 210 1
1 31 -1
1 43 -1
1 64 -1
2 3 1
2 4 1
2 6 1
2 7 1
2 8 1
2 15 1
2 19 1
2 21 1
2 23 1
2 24 1
2 28 1
2 35 1
2 40 1
2 42 1
2 44 1
2 45 1
2 53 1
2 55 1
2 69 1
2 71 1
2 89 1
3 4 1
3 5 1
3 6 1
3 7 1
3 12 1
3 17 1
3 19 1
3 21 1
3 22 1
3 23 1
3 24 1
3 26 1
3 28 1
3 30 1
3 31 1
3 34 1
3 37 1
3 39 1
3 42 1
3 44 1
3 52 1
3 54 1
3 56 1
3 57 1
3 59 1
3 67 1
3 69 1
3 70 1
3 71 1
3 72 1
3 74 1
3 75 1
3 76 1
3 79 1
3 80 1
3 83 1
3 84 1
3 85 1
3 86 1
3 87 1
3 89 1
3 100 1
3 101 1
3 105 1
3 112 1
3 115 1
3 120 1
3 127 1
3 128 1
3 155 1
3 166 1
3 168 1
3 40 -1
3 64 -1
3 78 -1
3 96 -1
3 107 -1
4 6 1
4 7 1
4 8 1
4 9 1
4 12 1
4 14 1
4 15 1
4 19 1
4 20 1
4 21 1
4 22 1
4 23 1
4 24 1
4 30 1
4 31 1
4 33 1
4 34 1
4 36 1
4 37 1
4 39 1
4 43 1
4 44 1
4 45 1
4 52 1
4 55 1
4 56 1
4 71 1
4 78 1
4 99 1
4 46 -1
5 8 1
5 15 1
5 17 1
5 35 1
5 40 1
5 46 1
5 54 1
5 56 1
